id,CodigoBarras,Descripcion,Rubro,PrecioCosto,PorcIVA,PorcUtil,PrecioVenta,Proveedor,Stock,StockMin,StockMax,CtrlStock,Activo
994,7791337008335,YOGURT FRUTILLA LA SERENISIMA 1L,Lácteos,0.0,21.0,0.0,2700.0,null,0,0,0,false,true
995,7791337007765,YOGURT LA SERENISIMA  VAINILLA,Lácteos,0.0,21.0,0.0,1500.0,null,0,0,0,false,true
996,7795793101500,YOGURT RAMOLAC FRUTILLA,Lácteos,0.0,21.0,0.0,1500.0,null,0,0,0,false,true
997,7795793102408,YOGURT RAMOLAC FRUTILLA 125G,Lácteos,0.0,21.0,0.0,450.0,null,0,0,0,false,true
998,7793913013528,YOGURT TREGAR FRUTILLA 125G,Lácteos,0.0,21.0,0.0,550.0,null,0,0,0,false,true
999,7793913013535,YOGURT TREGAR VAINILLA 125G,Lácteos,0.0,21.0,0.0,550.0,null,0,0,0,false,true
1000,7793913013580,YOGURT TREGAR VAINILLA 1L,Lácteos,0.0,21.0,0.0,1870.0,null,0,0,0,false,true
1001,7795793101517,YOGURT VAINILLA 1L RAMOLAC,Lácteos,0.0,21.0,0.0,15000.0,null,0,0,0,false,true
1002,7798048722215,ZANARIA EN CUBOS LATA ELIO,Almacén,0.0,21.0,0.0,800.0,null,0,0,0,false,true
1004,7795735601075,PAPAS FRITAS BUDIN DON SATURCON,Fiestas,0.0,21.0,0.0,1650.0,null,0,0,0,false,true
1005,21100,PALETA COCIDA SIN CUERO PALADINI X 6KG,Fiambrería,3628.28,21.0,0.0,6146.31,null,0,0,0,false,true
1006,7795793102415,YOGURT RAMOLAC 125 GR,Sin clasificar,380.17,21.0,0.0,460.0,null,0,0,0,false,true
1007,787878787878,PrUEBA,Sin clasificar,0.0,21.0,0.0,0.0,null,0,0,0,false,true
